iter	Passed	Remaining
893	3586	425
894	3590	421
895	3594	417
896	3598	413
897	3602	409
898	3606	405
899	3610	401
900	3614	397
901	3619	393
902	3623	389
903	3627	385
904	3631	381
905	3635	377
906	3639	373
907	3643	369
908	3646	365
909	3650	361
910	3654	357
911	3659	353
912	3663	349
913	3668	345
914	3672	341
915	3677	337
916	3680	333
917	3685	329
918	3689	325
919	3693	321
920	3697	317
921	3702	313
922	3705	309
923	3710	305
924	3714	301
925	3718	297
926	3722	293
927	3727	289
928	3730	285
929	3734	281
930	3738	277
931	3742	273
932	3746	269
933	3750	265
934	3754	261
935	3758	257
936	3762	252
937	3766	248
938	3770	244
939	3774	240
940	3778	236
941	3782	232
942	3786	228
943	3790	224
944	3794	220
945	3799	216
946	3802	212
947	3806	208
948	3811	204
949	3815	200
950	3819	196
951	3823	192
952	3828	188
953	3832	184
954	3836	180
955	3840	176
956	3844	172
957	3848	168
958	3852	164
959	3856	160
960	3860	156
961	3864	152
962	3868	148
963	3872	144
964	3876	140
965	3880	136
966	3884	132
967	3888	128
968	3892	124
969	3897	120
970	3900	116
971	3905	112
972	3908	108
973	3912	104
974	3916	100
975	3921	96
976	3925	92
977	3929	88
978	3933	84
979	3937	80
980	3942	76
981	3946	72
982	3949	68
983	3953	64
984	3957	60
985	3961	56
986	3965	52
987	3969	48
988	3973	44
989	3977	40
990	3981	36
991	3985	32
992	3989	28
993	3993	24
994	3997	20
995	4001	16
996	4005	12
997	4009	8
998	4014	4
999	4018	0
